Subject_ID,Task,Valid_Item_Count,Correct_Item_Count,Overall_Accuracy,Card_Completion_Time,Completion_Time_Was_Missing,Card_Completion_Time_Imputed,Accuracy_Z,Completion_Time_Z
xxxxxxxx111,CW,12,10,0.8333333333333334,19.9088,False,19.9088,-0.539812440490054,1.058614823132243
xxxxxxxx111,W,12,12,1.0,9.9335,False,9.9335,0.23849196668686676,1.1200208059555035
xxxxxxxx112,CW,12,10,0.8333333333333334,11.8731,False,11.8731,-0.539812440490054,-0.3487950236559956
xxxxxxxx112,W,12,6,0.5,11.6187,False,11.6187,-4.109400041373687,1.9500271261554996
xxxxxxxx113,CW,12,10,0.8333333333333334,25.0601,False,25.0601,-0.539812440490054,1.960837447640407
xxxxxxxx113,W,12,10,0.8333333333333334,8.6763,False,8.6763,-1.2108053693333174,0.5008159959890688
xxxxxxxx114,CW,12,10,0.8333333333333334,15.3043,False,15.3043,-0.539812440490054,0.2521612920725412
xxxxxxxx114,W,12,12,1.0,7.7804,False,7.7804,0.23849196668686676,0.05956115248848972
xxxxxxxx115,CW,12,8,0.6666666666666666,16.5794,False,16.5794,-1.5145594758892373,0.47548823255559597
xxxxxxxx115,W,12,3,0.25,7.1698,False,7.1698,-6.283346045403963,-0.24117576841948407
xxxxxxxx116,CW,12,8,0.6666666666666666,17.4105,False,17.4105,-1.5145594758892373,0.6210509493899358
xxxxxxxx116,W,12,12,1.0,8.3461,False,8.3461,0.23849196668686676,0.3381836158976622
xxxxxxxx117,CW,12,12,1.0,13.7488,False,13.7488,0.43493459490912884,-0.020276207669747096
xxxxxxxx117,W,12,12,1.0,9.6012,False,9.6012,0.23849196668686676,0.9563541193886517
xxxxxxxx118,CW,12,12,1.0,18.064,False,18.064,0.43493459490912884,0.7355079767647899
xxxxxxxx118,W,12,10,0.8333333333333334,5.0286,False,5.0286,-1.2108053693333174,-1.295774351858976
xxxxxxxx119,CW,12,2,0.16666666666666666,19.86,False,19.86,-4.438800582086786,1.0500677643167986
xxxxxxxx119,W,12,12,1.0,7.0171,False,7.0171,0.23849196668686676,-0.3163846249911311
xxxxxxxx120,CW,12,10,0.8333333333333334,21.0592,False,21.0592,-0.539812440490054,1.2601012260274718
xxxxxxxx120,W,12,12,1.0,8.7542,False,8.7542,0.23849196668686676,0.53918384095915
xxxxxxxx121,CW,12,12,1.0,22.3074,False,22.3074,0.43493459490912884,1.478716775483161
xxxxxxxx121,W,9,6,0.5,,True,7.063,-4.109400041373687,-0.29377764059926104
xxxxxxxx122,CW,12,11,0.9166666666666666,13.9943,False,13.9943,-0.052438922790462875,0.022721803379261066
xxxxxxxx122,W,12,12,1.0,6.7128,False,6.7128,0.23849196668686676,-0.46626055855204923
xxxxxxxx123,CW,12,8,0.6666666666666666,24.4455,False,24.4455,-1.5145594758892373,1.8531935470672083
xxxxxxxx123,W,12,12,1.0,6.0154,False,6.0154,0.23849196668686676,-0.8097488137784183
xxxxxxxx124,CW,12,12,1.0,12.5505,False,12.5505,0.43493459490912884,-0.23015203919734842
xxxxxxxx124,W,12,12,1.0,10.7905,False,10.7905,0.23849196668686676,1.5421163533156959
xxxxxxxx125,CW,12,12,1.0,14.3135,False,14.3135,0.43493459490912884,0.07862797497536393
xxxxxxxx125,W,12,10,0.8333333333333334,12.8539,False,12.8539,-1.2108053693333174,2.558396344474414
xxxxxxxx126,CW,12,12,1.0,9.5504,False,9.5504,0.43493459490912884,-0.7556034972345318
xxxxxxxx126,W,12,12,1.0,9.0894,False,9.0894,0.23849196668686676,0.7042788555159014
xxxxxxxx127,CW,12,12,1.0,19.4838,False,19.4838,0.43493459490912884,0.9841783477928198
xxxxxxxx127,W,12,12,1.0,8.0657,False,8.0657,0.23849196668686676,0.200079075081095
xxxxxxxx128,CW,12,11,0.9166666666666666,20.3608,False,20.3608,-0.052438922790462875,1.1377802039638178
xxxxxxxx128,W,12,12,1.0,5.8258,False,5.8258,0.23849196668686676,-0.9031319127043137
xxxxxxxx129,CW,12,8,0.6666666666666666,31.0066,False,31.0066,-1.5145594758892373,3.0023350961248276
xxxxxxxx129,W,12,12,1.0,7.8053,False,7.8053,0.23849196668686676,0.07182507212590941
