Feature,English_Description,Interaction_Coef,Z_Score,HDI_2.5%,HDI_97.5%,Interaction_PValue,Significant_Interaction,Interaction_FDR_PValue,Significant_Interaction_FDR,Dots_Age_Coef,Dots_Age_PValue,Dots_Age_Significant,STT_Age_Coef,STT_Age_PValue,STT_Age_Significant
HNRdBACF_sma3nz_stddevNorm,Harmonics-to-noise ratio-coefficient of variation [voice clarity],0.0596511709802608,1.7164271297915346,-0.0084649133509808,0.1277672553115025,0.0860838946070321,False,0.1721677892140643,False,0.0176436760350077,0.5063660575513571,False,0.0772948470152685,0.0291652071626999,True
logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3-mean,-0.0493440417899459,-1.6891309023817642,-0.106600896052645,0.0079128124727531,0.0911943469761221,False,0.1784237223445868,False,-0.0111324523354617,0.8093394163740166,False,-0.0604764941254077,0.2149340493347074,False
slopeV500-1500_sma3nz_amean,slopeV500-1500-mean,0.0497642528462384,1.5836250068257578,-0.0118273077556832,0.1113558134481602,0.1132790797675712,False,0.2169173867889661,False,-0.07727276729665,0.0156112996449472,True,-0.0275085144504115,0.4064053019271356,False
loudness_sma3_percentile50.0,Loudness-median [intensity],-0.0382747322030475,-1.5089749618293933,-0.0879895896497378,0.0114401252436427,0.1313051814432121,False,0.2461972152060227,False,0.206714379838027,0.000875944432993,True,0.1684396476349794,0.0134384148226676,True
F2frequency_sma3nz_amean,F2-mean [tongue position],-0.0435147745706961,-1.441543937963722,-0.1026797822492279,0.0156502331078355,0.1494310736352796,False,0.2558881383506132,False,0.087882512120104,0.0411460974612711,True,0.0443677375494078,0.2938048818132359,False
mfcc3V_sma3nz_stddevNorm,MFCC coefficient 3-coefficient of variation [vocal tract feature],-0.0562315530389361,-1.444780556945598,-0.1325156942024339,0.0200525881245615,0.1485195340485098,False,0.2558881383506132,False,-0.0079946487183894,0.722914610503859,False,-0.0642262017573256,0.0447230721598517,True
loudness_sma3_stddevRisingSlope,Loudness-standard deviation [intensity],-0.0475698967434623,-1.4503249745514744,-0.1118568663904,0.0167170729034752,0.1469679177972717,False,0.2558881383506132,False,0.0701634539793426,0.0347054640358642,True,0.0225935572358802,0.5911006292022938,False
loudness_sma3_amean,Loudness-mean [intensity],-0.0335049491356994,-1.4370996471844502,-0.0792009455369443,0.0121910472655454,0.1506896814731389,False,0.2558881383506132,False,0.2025148442842553,0.0018217932005073,True,0.1690098951485559,0.0153135399313659,True
F3frequency_sma3nz_stddevNorm,F3-coefficient of variation [timbre],0.0449483590813324,1.4619439539072652,-0.0153130370987019,0.1052097552613669,0.1437565688789845,False,0.2558881383506132,False,0.1296513871447018,0.0004774221019038,True,0.1745997462260343,8.768908521528118e-07,True
mfcc3_sma3_amean,MFCC coefficient 3-mean [vocal tract feature],-0.042327626991699,-1.4056902728231233,-0.1013464240252111,0.016691170041813,0.1598161166424242,False,0.2663601944040404,False,-0.0546791141783315,0.1267760130552477,False,-0.0970067411700306,0.0079104034980146,True
